,Words,Likelihoods
0,filmedâan,0.6675680790024122
1,turbul,1.3958065793736274
2,spacehog,0.6675680790024122
3,impuls,0.44442452768820223
4,slotnick,-1.1241913902256429
5,pianist,0.3310958423811991
6,ancer,0.6675680790024122
7,hoffman,0.7585398572081389
8,costli,2.171645475778686
9,lenni,-0.9418698334316883
10,darrel,-0.02557910155753326
11,caper,0.1513516066015448
12,chuck,-0.4863943047488626
13,problemâbrilli,0.6675680790024122
14,discretionari,0.6675680790024122
15,nyc,1.0950120938293517
16,aah,1.0730331871105765
17,tomasi,-2.4234743743559037
18,author,0.14545271309182092
19,ummagumma,0.6675680790024122
20,deliver,1.1981963300645824
21,wound,-0.1707611114020313
22,rustl,-0.5364047253235241
23,unspoil,1.0730331871105765
24,minako,2.171645475778686
25,kamm,0.6675680790024122
26,vincent,0.19756444975667647
27,samotã¡ri,0.6675680790024122
28,menzi,0.8907116303166218
29,starboard,1.0730331871105765
30,zola,-0.02557910155753326
31,bigam,-0.7187262821174785
32,toreador,-1.1241913902256429
33,remast,0.09220393409885033
34,slapp,0.6675680790024122
35,heartedli,0.6675680790024122
36,stickyback,-1.4118734626774239
37,unlov,0.4852465222084574
38,dvr,0.6675680790024122
39,kareena,-2.9700180807239738
40,unfair,-0.07822283504295512
41,tshomb,1.0730331871105765
42,steepli,0.6675680790024122
43,inexpress,0.37988600655063115
44,quit,0.2094340253120603
45,sathoor,-1.4118734626774239
46,dwayn,-0.5364047253235241
47,fillion,-2.2228036788937526
48,shefali,2.5393702559040037
49,rudi,1.004040315623625
50,roadway,1.3607152595623575
51,scoobi,-1.577858600151685
52,hotd,-2.1050206432373693
53,kotm,-0.7187262821174785
54,water,0.17354957355280265
55,punter,-0.31326117400931414
56,whiney,-0.872876961944737
57,borneo,-1.2783420700529013
58,tiberiu,-2.2228036788937526
59,maverick,1.9203310474977802
60,towsend,-0.7187262821174785
61,symbiot,1.766180367670522
62,phonet,-0.025579101557533145
63,heartfelt,1.1640049653163032
64,hyperventil,-0.7187262821174785
65,matine,-0.3620513381787462
66,etch,1.5325655164890166
67,deadpan,0.5542393936954088
68,suzi,0.8907116303166218
69,garrard,1.0730331871105765
70,boundri,-0.025579101557533145
71,chirsti,0.6675680790024122
72,mcaffe,0.6675680790024122
73,teesh,-0.7187262821174785
74,kade,0.6675680790024122
75,mcarthur,0.6675680790024122
76,correcto,0.6675680790024122
77,choru,0.451344970532776
78,martineau,1.583858810876567
79,feeblest,-1.4118734626774239
80,richardson,1.214111785370482
81,shayn,1.9203310474977802
82,wolliaston,-1.1241913902256429
83,jenovit,0.6675680790024122
84,lamplight,0.6675680790024122
85,scrumptiou,-0.7187262821174785
